code,url,creator,created_t,created_datetime,last_modified_t,last_modified_datetime,product_name,generic_name,quantity,packaging,packaging_tags,brands,brands_tags,categories,categories_tags,categories_en,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,labels_en,emb_codes,emb_codes_tags,first_packaging_code_geo,cities,cities_tags,purchase_places,stores,countries,countries_tags,countries_en,ingredients_text,allergens,allergens_en,traces,traces_tags,traces_en,serving_size,no_nutriments,additives_n,additives,additives_tags,additives_en,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutrition_grade_uk,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,states,states_tags,states_en,main_category,main_category_en,image_url,image_small_url,energy_100g,energy_from_fat_100g,fat_100g,saturated_fat_100g,butyric_acid_100g,caproic_acid_100g,caprylic_acid_100g,capric_acid_100g,lauric_acid_100g,myristic_acid_100g,palmitic_acid_100g,stearic_acid_100g,arachidic_acid_100g,behenic_acid_100g,lignoceric_acid_100g,cerotic_acid_100g,montanic_acid_100g,melissic_acid_100g,monounsaturated_fat_100g,polyunsaturated_fat_100g,omega_3_fat_100g,alpha_linolenic_acid_100g,eicosapentaenoic_acid_100g,docosahexaenoic_acid_100g,omega_6_fat_100g,linoleic_acid_100g,arachidonic_acid_100g,gamma_linolenic_acid_100g,dihomo_gamma_linolenic_acid_100g,omega_9_fat_100g,oleic_acid_100g,elaidic_acid_100g,gondoic_acid_100g,mead_acid_100g,erucic_acid_100g,nervonic_acid_100g,trans_fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum_proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin_a_100g,beta_carotene_100g,vitamin_d_100g,vitamin_e_100g,vitamin_k_100g,vitamin_c_100g,vitamin_b1_100g,vitamin_b2_100g,vitamin_pp_100g,vitamin_b6_100g,vitamin_b9_100g,vitamin_b12_100g,biotin_100g,pantothenic_acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits_vegetables_nuts_100g,collagen_meat_protein_ratio_100g,cocoa_100g,chlorophyl_100g,carbon_footprint_100g,nutrition_score_fr_100g,nutrition_score_uk_100g
12866,http://world-en.openfoodfacts.org/product/000000000000012866/poelee-a-la-sarladaise,date-limite-app,1447004364,2015-11-08T17:39:24Z,1447004364,2015-11-08T17:39:24Z,Po̻l̩e �� la sarladaise,,,plat cuisin̩,plat-cuisine,,,,,,,,,,,,,,,,,,,,en:FR,en:france,France,,,,,,,,,,,,,,,,,,,,,,,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-uploaded","To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Quantity to be completed,Photos to be uploaded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24600,http://world-en.openfoodfacts.org/product/0000000024600/filet-de-boeuf,date-limite-app,1434530704,2015-06-17T08:45:04Z,1434535914,2015-06-17T10:11:54Z,Filet de b��uf,,2.46 kg,plastique,plastique,,,Filet de b��uf,fr:filet-de-boeuf,fr:Filet-de-boeuf,,,,,,,,,,,,,,,France,en:france,France,,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-completed, en:characteristics-to-be-completed, en:brands-to-be-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-completed,en:characteristics-to-be-completed,en:brands-to-be-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date completed,Characteristics to be completed,Brands to be completed,Photos to be validated,Photos uploaded",fr:filet-de-boeuf,fr:Filet-de-boeuf,http://en.openfoodfacts.org/images/products/000/000/002/4600/front.3.400.jpg,http://en.openfoodfacts.org/images/products/000/000/002/4600/front.3.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36252,http://world-en.openfoodfacts.org/product/0000000036252/lion-peanut-x2,tacinte,1422221701,2015-01-25T21:35:01Z,1422221855,2015-01-25T21:37:35Z,Lion Peanut x2,,,,,,,,,,,,,,,,,,,,,,"Roissy,France",,France,en:france,France,,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded",,,http://en.openfoodfacts.org/images/products/000/000/003/6252/front.4.400.jpg,http://en.openfoodfacts.org/images/products/000/000/003/6252/front.4.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39259,http://world-en.openfoodfacts.org/product/0000000039259/twix-x2,tacinte,1422221773,2015-01-25T21:36:13Z,1422221926,2015-01-25T21:38:46Z,Twix x2,,,,,,,,,,,,,,,,,,,,,,"Roissy,France",,France,en:france,France,,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded",,,http://en.openfoodfacts.org/images/products/000/000/003/9259/front.6.400.jpg,http://en.openfoodfacts.org/images/products/000/000/003/9259/front.6.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39529,http://world-en.openfoodfacts.org/product/0000000039529/pack-de-2-twix,teolemon,1420147051,2015-01-01T21:17:31Z,1439141740,2015-08-09T17:35:40Z,Pack de 2 Twix,,,,,Twix,twix,,,,,,,,,,,,,,,,,,France,en:france,France,,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded",,,http://en.openfoodfacts.org/images/products/000/000/003/9529/front.3.400.jpg,http://en.openfoodfacts.org/images/products/000/000/003/9529/front.3.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071894,http://world-en.openfoodfacts.org/product/0000001071894/flute-waitrose,bcatelin,1409411252,2014-08-30T15:07:32Z,1439141739,2015-08-09T17:35:39Z,Flute,Flute,,"Paper,plastic film","paper,plastic-film",Waitrose,waitrose,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",France,france,UK,uk,,,,,,,,,"Brent,UK",Waitrose,United Kingdom,en:united-kingdom,United Kingdom,Wheat,,,,,,,,0, [ wheat -> en:wheat  ] ,,,0,,,0,,,,,Cereals and potatoes,Bread,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Characteristics to be completed,Quantity to be completed,Photos to be validated,Photos uploaded",en:plant-based-foods-and-beverages,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/000/000/107/1894/front.7.400.jpg,http://en.openfoodfacts.org/images/products/000/000/107/1894/front.7.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200016,http://world-en.openfoodfacts.org/product/0000005200016/lentilles-vertes-bertrand-lejeune,sigoise,1441186657,2015-09-02T09:37:37Z,1442570752,2015-09-18T10:05:52Z,lentilles vertes ,,1 kg ,Sachet plastique,sachet-plastique,Bertrand Lejeune,bertrand-lejeune,"Aliments et boissons �� base de v̩g̩taux,Aliments d'origine v̩g̩tale,L̩gumineuses et d̩riv̩s,C̩r̩ales et pommes de terre,L̩gumineuses,Graines,Graines de l̩gumineuses,L̩gumes secs,Lentilles vertes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:cereals-and-potatoes,en:legumes,en:seeds,en:legume-seeds,en:pulses,en:lentils,en:green-lentils","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Cereals and potatoes,Legumes,Seeds,Legume seeds,Pulses,Lentils,Green lentils",,,,,AB,fr:ab-agriculture-biologique,fr:AB Agriculture Biologique,,,,,,,,France,en:france,France,lentilles vertes,,,,,,,,0, [ lentilles-vertes -> fr:lentilles-vertes  ]  [ lentilles -> fr:lentilles  ] ,,,0,,,0,,,,,Cereals and potatoes,Legumes,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts to be completed,Ingredients completed,Expiration date to be completed,Characteristics completed,Photos to be validated,Photos uploaded",en:plant-based-foods-and-beverages,Plant-based foods and beverages,http://en.openfoodfacts.org/images/products/000/000/520/0016/front.3.400.jpg,http://en.openfoodfacts.org/images/products/000/000/520/0016/front.3.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020254,http://world-en.openfoodfacts.org/product/0000007020254,teolemon,1420150193,2015-01-01T22:09:53Z,1420210373,2015-01-02T14:52:53Z,,,,,,A&W,a-w,Root bier,fr:root-bier,fr:Root-bier,,,,,,,,,,,,,,,France,en:france,France,,,,,,,,,,,,,,,,,,,,,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-to-be-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Packaging to be completed,Quantity to be completed,Product name to be completed,Photos to be validated,Photos uploaded",fr:root-bier,fr:Root-bier,http://en.openfoodfacts.org/images/products/000/000/702/0254/front.16.400.jpg,http://en.openfoodfacts.org/images/products/000/000/702/0254/front.16.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090206,http://world-en.openfoodfacts.org/product/0000010090206/the-de-noel-aromatise-orange-cannelle-alice-delice,sebleouf,1370977431,2013-06-11T19:03:51Z,1445083431,2015-10-17T12:03:51Z,Th̩ de No��l aromatis̩ orange-cannelle,,75 g,aluminium,aluminium,Alice D̩lice,alice-delice,"Aliments et boissons �� base de v̩g̩taux,Boissons,Aliments d'origine v̩g̩tale,Boissons chaudes,Infusions,Th̩s,Th̩s noirs,Boissons non sucr̩es,Th̩s noirs aromatis̩s,Th̩s aromatis̩s","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:herbal-teas,en:teas,en:black-teas,en:flavored-teas,en:non-sugared-beverages,fr:thes-noirs-aromatises","Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Herbal teas,Teas,Black teas,Flavored teas,Non-sugared beverages,fr:Thes-noirs-aromatises",,,France,france,,,,,,,,,"Lyon,France",Alice D̩lice,France,en:france,France,"Th̩ noir de Chine, zestes d'oranges 7,5 %, ar̫mes naturels (cannelle 4,7 %, orange 4,7 %, poudre de cannelle 3,9 %).",,,"��ufs,Gluten,Lait,Moutarde,Fruits �� coque,Graines de s̩same,Soja,Anhydride sulfureux et sulfites","en:eggs,en:gluten,en:milk,en:mustard,en:nuts,en:sesame-seeds,en:soybeans,en:sulphur-dioxide-and-sulphites","Eggs,Gluten,Milk,Mustard,Nuts,Sesame seeds,Soybeans,Sulphur dioxide and sulphites",,,0, [ the-noir-de-chine -> fr:the-noir-de-chine  ]  [ the-noir-de -> fr:the-noir-de  ]  [ the-noir -> fr:the-noir  ]  [ the -> fr:the  ]  [ zestes-d-oranges-7 -> fr:zestes-d-oranges-7  ]  [ zestes-d-oranges -> fr:zestes-d-oranges  ]  [ zestes-d -> fr:zestes-d  ]  [ zestes -> fr:zestes  ]  [ 5 -> en:fd-c  ]  [ aromes-naturels -> fr:aromes-naturels  ]  [ aromes -> fr:aromes  ]  [ cannelle-4 -> fr:cannelle-4  ]  [ cannelle -> fr:cannelle  ]  [ 7 -> en:fd-c  ]  [ orange-4 -> fr:orange-4  ]  [ orange -> fr:orange  ]  [ 7 -> en:fd-c  ]  [ poudre-de-cannelle-3 -> fr:poudre-de-cannelle-3  ]  [ poudre-de-cannelle -> fr:poudre-de-cannelle  ]  [ poudre-de -> fr:poudre-de  ]  [ poudre -> fr:poudre  ]  [ 9 -> en:fd-c  ] ,,,0,,,0,,,,,Beverages,Non-sugared beverages,"en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:photos-validated, en:photos-uploaded","en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:characteristics-completed,en:photos-validated,en:photos-uploaded","To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date completed,Characteristics completed,Photos validated,Photos uploaded",en:beverages,Beverages,http://en.openfoodfacts.org/images/products/000/001/009/0206/front.5.400.jpg,http://en.openfoodfacts.org/images/products/000/001/009/0206/front.5.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20364373,http://world-en.openfoodfacts.org/product/0000020364373/zumo-de-pina-vita-fit,openfoodfacts-contributors,1393970573,2014-03-04T22:02:53Z,1393970733,2014-03-04T22:05:33Z,Zumo de Pi̱a,,,,,Vita fit,vita-fit,,,,,,,,,,,,,,,,,,en:ES,en:spain,Spain,,,,,,,,,,,,,,,,,,,,,,,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded","en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded","To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded",,,http://en.openfoodfacts.org/images/products/000/002/036/4373/front.3.400.jpg,http://en.openfoodfacts.org/images/products/000/002/036/4373/front.3.200.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
